Name,ReleaseYear,Genre,TotalPrizePool,TotalTournaments,TotalPlayers,BiggestTournament,BiggestPrizePool,TournamentDate,TournamentLocation
Age of Empires,1997,Strategy,190075.61,95,246,Facebook Gaming Creators Cup 2019,11954,1/12/2020,vietnam
Age of Empires II,1999,Strategy,1417624.06,497,801,War is Coming,110000,3/23/2015,uae
Age of Empires III,2005,Strategy,66463.85,72,86,WCG 2007 (AoEIII),20000,10/7/2007,united states
Age of Empires Online,2011,Strategy,1800,5,11,Celeste Open Championship,500,11/26/2018,online
Age of Mythology,2002,Strategy,52360,6,22,WCG 2003 (Age of Mythology),35000,10/18/2003,south korea
Auto Chess,2019,Strategy,1076322.28,6,72,Auto Chess Invitational 2019,1000000,10/27/2019,china
Brawl Stars,2018,Strategy,94950,10,51,Brawl Stars World Championship 2020 March Finals,56250,3/8/2020,poland
Chess.com,2007,Strategy,678628.54,131,531,FIDE Online Nations Cup,180000,5/10/2020,online
chess24,2014,Strategy,627876.21,6,48,Magnus Carlsen Invitational,250000,5/3/2020,online
Clash of Clans,2012,Strategy,751576.87,3,77,Clash of Clans World Championship 2019,700000,10/27/2019,germany
Clash Royale,2016,Strategy,2293020.39,39,222,Clash Royale Crown Championship World Finals 2017,400000,12/3/2017,united kingdom
Command & Conquer 3,2007,Strategy,53086.67,8,9,WCG 2007 (C&C3),20000,10/7/2007,united states
Company of Heroes 2,2013,Strategy,8561.22,6,11,Grand Championship Series 2,4400,9/16/2018,united kingdom
ComPet,2016,Strategy,2000,1,50,ComPet Winter Championship,2000,1/2/2017,online
Dota Underlords,2019,Strategy,26024.18,36,62,WePlay! Dota Underlords Open,16750,8/4/2019,online
Endgods,2015,Strategy,0,0,0,NA,NA,NA,NA
Farming Simulator 19,2018,Strategy,158361.3,12,84,Farming Simulator League @ gamescom 2019,13351.37,8/24/2019,germany
Grey Goo,2015,Strategy,36400,5,18,Grey Goo Tournament Series Finals,29400,1/31/2016,united states
Lichess,2010,Strategy,404525,51,72,Clutch Chess: International,265000,6/14/2020,online
osu!,2007,Strategy,23100,7,971,OWC 2015,5000,12/13/2015,worldwide
Playchess.com,2002,Strategy,24005.23,4,76,Silkway Cup,23014.86,5/28/2020,online
Pokémon VGC,2017,Strategy,211500,24,170,Pokémon 2017 World Championships,51500,8/20/2017,united states
Prophecy,2020,Strategy,13000,4,27,Prophecy 10k #1 - June 2020,10000,6/6/2020,online
Rise of Nations: Rise of Legends,2006,Strategy,69600,1,8,"$100,000 Rise of the Ultimate Championship Tournament",69600,3/3/2007,united states
Sea of Thieves,2016,Strategy,0,0,0,NA,NA,NA,NA
StarCraft II,2010,Strategy,33164673.08,5865,2063,WCS 2017 Global Finals,700000,11/4/2017,united states
StarCraft: Brood War,1998,Strategy,8251181.43,571,674,GOMTV MSL #2 2007,126451.2,7/14/2007,south korea
Super Mario Party,2018,Strategy,220,1,4,The Pinnacle 2018 (SMP),220,12/29/2018,united states
Supreme Commander,2007,Strategy,4901.26,1,0,i30 (SupCom),4901.26,4/9/2007,united kingdom
Supreme Commander: Forged Alliance,2007,Strategy,1290.01,1,0,i33 (SupCom:FA),1290.01,3/24/2008,united kingdom
Teamfight Tactics,2019,Strategy,604313.65,13,143,Galaxies Showcase,150250,3/13/2020,online
TEPPEN,2019,Strategy,456721.47,1,12,Teppen World Championship 2019,456721.47,12/21/2019,japen
Tetr.io,2020,Strategy,1753.09,6,8,WPL Tetr.io Open #2,324.43,5/2/2020,online
UNO,2016,Strategy,20000,2,16,Twitch Rivals: Uno Showdown - Pool A,10000,1/10/2020,online
WarCraft III,2002,Strategy,5811479.73,1335,558,World Cyber Arena 2015 (WC3),100260.68,12/20/2015,china
WarCraft III: Reforged,2020,Strategy,89667.43,50,55,DreamHack Anaheim 2020 (WC3),25000,2/23/2020,united states
"Warhammer 40,000: Dawn of War",2005,Strategy,79816.5,3,7,"WCG 2006 (Warhammer 40,000)",43000,10/22/2006,italy
"Warhammer 40,000: Dawn of War II",2009,Strategy,0,0,0,NA,NA,NA,NA
Warparty,2019,Strategy,1000,1,4,CotSAI,1000,5/12/2019,online
Windjammers,1994,Strategy,4132.16,10,31,Stunfest 2019 (WJ),1116.75,5/19/2019,france
World in Conflict,2007,Strategy,293338.23,11,38,CPL World Tour Finals 2007 (World in Conflict),200000,2/28/2008,united states
World of Tanks,2010,Strategy,3656496.59,50,403,World Cyber Arena 2015 (WoT),308494.4,12/20/2015,china
World of Tanks Blitz,2016,Strategy,63330,6,14,Blitz Twister Cup 2017,30000,11/11/2017,belarus
Aliens versus Predator 2,2001,First-Person Shooter,40000,1,1,CPL World Championship 2001 (AvP2),40000,12/9/2001,united states
Battalion 1944,2018,First-Person Shooter,185654.67,21,114,Blitzkrieg Masters 2018,50000,9/30/2018,netherlands
Battalion 1944,2018,First-Person Shooter,0,0,0,NA,NA,NA,NA
Battlefield 1,2016,First-Person Shooter,0,0,0,NA,NA,NA,NA
Battlefield 2,2005,First-Person Shooter,91715.22,12,0,CGI 2006 (BF2),50000,7/23/2006,united states
Battlefield 2142,2006,First-Person Shooter,18546.14,4,0,Assembly Winter 2007 (BF2142),13644.88,4/29/2007,finland
Battlefield 3,2011,First-Person Shooter,25407.46,7,5,DreamHack Summer 2012 (Battlefield 3),7110.86,6/18/2012,sweden
Battlefield 4,2013,First-Person Shooter,245766.46,145,204,ESL One BF4 Spring Finals 2015,37171.2,4/19/2015,germany
Battlefield 5,2018,First-Person Shooter,0,0,0,NA,NA,NA,NA
Battlefield Hardline,2015,First-Person Shooter,13463.28,1,20,DreamHack Tours 2015 (BF Hardline),13463.28,5/8/2015,france
Big Buck Hunter Arcade,2016,First-Person Shooter,76200,1,3,2019 Big Buck World Championship,76200,10/12/2019,united states
Black Squad,2017,First-Person Shooter,8480.72,17,57,Go4BlackSquad Europe Champions Cup 2019,3440.72,1/13/2019,online
Borderlands 3,2019,First-Person Shooter,0,0,0,NA,NA,NA,NA
Call of Duty,2003,First-Person Shooter,50629.77,3,51,CPL Summer 2004 (CoD),50000,8/1/2004,united states
Call of Duty 2,2005,First-Person Shooter,66828.51,17,41,WSVG Dallas 2007 (Call of Duty 2),20000,7/8/2007,united states
Call of Duty 4: Modern Warfare,2007,First-Person Shooter,420331.47,86,422,the eXperience 2008 (CoD4),38914.41,8/2/2008,denmark
Call of Duty: Advanced Warfare,2014,First-Person Shooter,2608808.93,404,784,Call of Duty Championship 2015,1000000,3/29/2015,united states
Call of Duty: Black Ops,2010,First-Person Shooter,347393.48,22,117,MLG Providence 2011 (CoD: Black Ops),140000,11/20/2011,united states
Call of Duty: Black Ops 2,2012,First-Person Shooter,1467139.25,53,184,Call of Duty Championship 2013,1000000,4/7/2013,united states
Call of Duty: Black Ops 4,2018,First-Person Shooter,7264452,81,437,CWL Championship 2019,2000000,8/18/2019,united states
Call of Duty: Black Ops III,2015,First-Person Shooter,3939783.29,78,420,Call of Duty XP Championship 2016,2000000,9/4/2016,united states
Call of Duty: Ghosts,2013,First-Person Shooter,1594185.25,76,199,Call of Duty Championship 2014,1000000,3/30/2014,united states
Call of Duty: Infinite Warfare,2016,First-Person Shooter,4156205.06,80,341,CWL Championship 2017,1525000,8/13/2017,united states
Call of Duty: Mobile,2019,First-Person Shooter,0,0,0,NA,NA,NA,NA
Call of Duty: Modern Warfare,2019,First-Person Shooter,1529784.5,34,243,CDC Minnesota Open 2020,250000,1/26/2020,united states
Call of Duty: Modern Warfare 2,2009,First-Person Shooter,60010.64,8,40,MLG Dallas 2010 (CoD:MW2),23000,11/7/2010,united states
Call of Duty: Modern Warfare 3,2011,First-Person Shooter,1134475.66,39,206,Call of Duty XP,1000000,9/3/2011,united states
Call of Duty: Warzone,2020,First-Person Shooter,1047163.37,45,307,Warzone Royal Ruckus 2020,80000,6/12/2020,online
Call of Duty: World War II,2017,First-Person Shooter,4559271,64,266,CWL Championship 2018,1500000,8/19/2018,united states
Counter-Strike,2000,First-Person Shooter,13492961.87,994,4137,CPL Summer 2003 (Counter-Strike),200000,8/3/2003,united states
Counter-Strike Online,2016,First-Person Shooter,406989.6,12,70,Counter Strike Online World Championship 2016,40000,12/4/2016,taiwan
Counter-Strike: Condition Zero,2004,First-Person Shooter,162150.6,3,111,WCG 2004 (CS:Condition Zero),85000,10/10/2004,united states
Counter-Strike: Global Offensive,2012,First-Person Shooter,98822108.09,5083,12901,WESG 2016 (CS:GO),1500000,1/15/2017,china
Counter-Strike: Source,2004,First-Person Shooter,3115972.29,333,1499,CGS 2007 (CS: Source),477500,12/15/2007,united states
Critical Ops,2015,First-Person Shooter,12606.41,3,4,C-Ops Championship series,10000,8/20/2017,online
CrossFire,2007,First-Person Shooter,6448845.02,306,629,CrossFire Stars 2018,900000,12/9/2018,china
Crysis,2007,First-Person Shooter,11340.95,2,0,i32 (Crysis),8364,11/11/2007,united kingdom
Day of Defeat,2003,First-Person Shooter,50300,3,37,CPL Summer 2005 (Day of Defeat),30000,7/10/2005,united states
Day of Defeat: Source,2005,First-Person Shooter,14068.57,8,50,MaxLAN 2009 (DOD:S),3715,11/22/2009,france
Descent 3,1999,First-Person Shooter,50000,1,1,"Descent 3 $50,000 Tournament",50000,8/28/1999,united states
Diabotical,2020,First-Person Shooter,5535.93,13,46,Juked Diabotical Duel Cup #1,2000,3/8/2020,online
Doom (2016),2016,First-Person Shooter,7000,1,6,QuakeCon 2017: DOOM CA 2vs2,7000,8/27/2017,united states
Doom 3,2004,First-Person Shooter,257748.16,4,14,ACOM Fatal1ty Shootout,120748.16,10/15/2004,china
Doom II: Hell on Earth,1994,First-Person Shooter,1000,2,1,QuakeCon 2013 (Doom II),1000,8/3/2013,united states
Echo Arena,2017,First-Person Shooter,0,0,0,NA,NA,NA,NA
Enemy Territory: Quake Wars,2007,First-Person Shooter,60923.12,4,27,QuakeCon 2007 (ET:QW),50000,8/5/2007,united states
